id,name,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR
288,Lee Kangin,kr KOR,MFFW,Mallorca,20,2001,30,15,1411,15.7,1,2,4,1
289,Kike,es ESP,FW,Osasuna,31,1989,33,18,1862,20.7,5,1,2,0
290,Koba Koindredi,fr FRA,MF,Valencia,19,2001,10,1,181,2,0,0,1,0
291,Koke,es ESP,MF,Atlético Madrid,29,1992,31,29,2508,27.9,1,2,6,0
292,Luca Koleosho,ca CAN,FW,Espanyol,16,2004,1,0,1,0,0,0,0,0
293,Geoffrey Kondogbia,cf CTA,MFDF,Atlético Madrid,28,1993,28,21,1882,20.9,1,2,13,2
294,Jules Koundé,fr FRA,DF,Sevilla,22,1998,32,31,2736,30.4,2,1,2,2
295,Toni Kroos,de GER,MF,Real Madrid,31,1990,28,25,2103,23.4,1,3,4,0
296,Takefusa Kubo,jp JPN,FWMF,Mallorca,20,2001,28,17,1605,17.8,1,0,4,0
297,Víctor Laguardia,es ESP,DF,Alavés,31,1989,34,34,3042,33.8,3,2,9,0
298,Diego Lainez,mx MEX,FW,Betis,21,2000,7,1,140,1.6,0,0,0,0
299,Érik Lamela,ar ARG,FW,Sevilla,29,1992,20,10,1015,11.3,5,2,5,0
300,Latasa,es ESP,FW,Real Madrid,20,2001,1,0,9,0.1,0,0,0,0
301,Toni Lato,es ESP,DFMF,Valencia,23,1997,11,7,590,6.6,0,1,5,0
302,Robin Le Normand,fr FRA,DF,Real Sociedad,24,1996,37,37,3330,37,1,1,6,0
303,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38,38,3420,38,0,0,4,0
304,Wu Lei,cn CHN,FWMF,Espanyol,29,1991,23,4,474,5.3,1,0,0,0
305,Florian Lejeune,fr FRA,DF,Alavés,30,1991,30,30,2699,30,0,0,9,1
306,Iñigo Lekue,es ESP,DF,Athletic Club,28,1993,25,22,1925,21.4,0,2,3,0
307,Thomas Lemar,fr FRA,MF,Atlético Madrid,25,1995,24,17,1440,16,4,5,2,0
308,Ruben Lendinez,es ESP,DF,Valencia,18,2003,4,1,137,1.5,0,0,2,0
309,Clément Lenglet,fr FRA,DF,Barcelona,26,1995,21,7,826,9.2,0,1,4,0
310,Javier Llabrés,,FWMF,Mallorca,,,5,1,132,1.5,0,0,0,0
311,Marcos Llorente,es ESP,DFMF,Atlético Madrid,26,1995,29,29,2447,27.2,0,2,5,0
312,Giovani Lo Celso,ar ARG,MFFW,Villarreal,25,1996,16,11,994,11,1,1,3,0
313,Julen Lobete,es ESP,FWMF,Real Sociedad,20,2000,13,2,284,3.2,2,0,0,0
314,Renan Lodi,br BRA,DF,Atlético Madrid,23,1998,29,13,1181,13.1,2,2,4,0
315,David López,es ESP,MFDF,Espanyol,31,1989,18,8,743,8.3,0,0,1,0
316,Diego López,es ESP,GK,Espanyol,39,1981,36,36,3177,35.3,0,0,4,0
317,Javi López,es ESP,DF,Alavés,19,2002,9,4,462,5.1,0,0,2,0
318,Unai López,es ESP,MF,Rayo Vallecano,25,1995,27,13,1160,12.9,0,0,5,0
319,Anthony Lozano,hn HON,FWMF,Cádiz,28,1993,31,21,1672,18.6,7,2,8,0
320,Florentino Luís,pt POR,MF,Getafe,21,1999,22,9,992,11,0,1,2,0
321,José Luis Gayà,es ESP,DF,Valencia,26,1995,24,22,1871,20.8,2,4,8,2
322,José Luis Morales,es ESP,FWMF,Levante,34,1987,35,31,2719,30.2,13,7,7,0
323,Luismi,es ESP,FW,Sevilla,20,2001,2,0,13,0.1,0,0,0,0
324,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2,2,180,2,0,0,0,0
325,Darwin Machís,ve VEN,MFFW,Granada,28,1993,25,16,1376,15.3,4,2,2,0
326,Pablo Maffeo,es ESP,DF,Mallorca,24,1997,35,35,2945,32.7,1,4,10,0
327,Nemanja Maksimović,rs SRB,MF,Getafe,26,1995,35,34,2936,32.6,1,2,5,0
328,Hugo Mallo,es ESP,DF,Celta Vigo,30,1991,21,21,1826,20.3,1,1,5,2
329,Mickael Malsa,mq MTQ,MF,Levante,25,1995,26,11,1143,12.7,1,2,7,0
330,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18,18,1620,18,0,0,2,0
331,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,27,1994,17,15,1298,14.4,0,0,5,0
332,Aïssa Mandi,dz ALG,DF,Villarreal,29,1991,17,14,1375,15.3,1,0,3,0
333,Maranhão,br BRA,FWMF,Valencia,24,1996,29,8,973,10.8,1,3,3,0
334,Nikola Maraš,rs SRB,DF,Rayo Vallecano,25,1995,16,11,1044,11.6,0,0,4,0
335,Marcelo,br BRA,DF,Real Madrid,33,1988,12,5,525,5.8,0,2,0,0
336,Iván Marcone,ar ARG,MF,Elche,31,1990,20,10,809,9,0,0,5,0
337,Óscar de Marcos,es ESP,DF,Athletic Club,32,1989,22,19,1679,18.7,1,2,5,0
338,José Mari,es ESP,MF,Cádiz,33,1987,11,4,386,4.3,0,0,3,1
339,José María Giménez,uy URU,DF,Atlético Madrid,26,1995,24,24,2042,22.7,1,1,7,0
340,Mariano,do DOM,FW,Real Madrid,27,1993,9,3,342,3.8,1,1,2,0
341,Mika Màrmol,es ESP,DF,Barcelona,19,2002,1,0,1,0,0,0,0,0
342,Roger Martí,es ESP,FW,Levante,30,1991,29,25,2115,23.5,7,3,8,0
343,Anthony Martial,fr FRA,FWMF,Sevilla,25,1995,9,7,490,5.4,0,1,1,0
344,Martín,es ESP,MF,Cádiz,22,1999,6,1,115,1.3,0,0,1,0
345,Ander Martin,es ESP,FWMF,Real Sociedad,20,2000,5,1,88,1,0,0,0,0
346,Andrés Martín,es ESP,FWMF,Rayo Vallecano,22,1999,7,1,186,2.1,0,0,0,0
347,Carlos Martín,es ESP,DF,Atlético Madrid,19,2002,1,0,6,0.1,0,0,1,0
348,Iván Martín,es ESP,MF,Alavés,22,1999,6,2,166,1.8,0,0,0,0
349,Iñigo Martínez,es ESP,DF,Athletic Club,30,1991,27,26,2341,26,3,0,9,2
350,Javi Martínez,es ESP,MF,Osasuna,21,1999,26,9,879,9.8,1,1,1,0
351,Pablo Martínez,es ESP,MF,Levante,23,1998,13,7,656,7.3,0,1,2,0
352,Omar Mascarell,es ESP,MF,Elche,28,1993,32,30,2493,27.7,0,0,6,0
353,Jaime Mata,es ESP,FW,Getafe,32,1988,22,4,672,7.5,1,0,7,0
354,Luís Maximiano,pt POR,GK,Granada,22,1999,35,35,3136,34.8,0,0,2,0
355,Borja Mayoral,es ESP,FW,Getafe,24,1997,18,11,1044,11.6,6,1,3,0
356,Jordi Mboula,es ESP,FW,Mallorca,22,1999,11,5,434,4.8,0,0,2,0
357,Óscar Melendo,es ESP,MFFW,Espanyol,23,1997,21,14,990,11,0,0,0,0
358,Gonzalo Melero,es ESP,MF,Levante,27,1994,29,20,1692,18.8,7,2,5,0
359,Tomás Mendes,es ESP,MF,Alavés,16,2004,1,0,9,0.1,0,0,0,0
360,Brais Méndez,es ESP,MF,Celta Vigo,24,1997,37,36,3021,33.6,4,5,8,0
361,Édgar Méndez,es ESP,FWMF,Alavés,31,1990,32,17,1614,17.9,1,1,6,0
362,Ferland Mendy,fr FRA,DF,Real Madrid,26,1995,22,20,1734,19.3,2,1,4,0
363,Fran Mérida,es ESP,MF,Espanyol,31,1990,10,3,266,3,0,0,2,1
364,Mikel Merino,es ESP,MF,Real Sociedad,25,1996,34,33,2890,32.1,3,2,8,0
365,Martín Merquelanz,es ESP,FW,Rayo Vallecano,26,1995,4,3,173,1.9,0,0,0,0
366,Matt Miazga,us USA,DF,Alavés,26,1995,11,9,833,9.3,0,0,2,0
367,Miguel,es ESP,FWMF,Alavés,21,1999,22,10,829,9.2,1,1,2,0
368,Éder Militão,br BRA,DF,Real Madrid,23,1998,34,34,3031,33.7,1,2,5,0
369,Luis Milla,es ESP,MF,Granada,26,1994,34,33,2773,30.8,3,3,4,0
370,Pere Milla,es ESP,FWMF,Elche,28,1992,32,17,1644,18.3,8,3,4,0
371,Santi Mina,es ESP,FW,Celta Vigo,25,1995,33,30,2367,26.3,7,3,4,0
372,Óscar Mingueza,es ESP,DF,Barcelona,22,1999,19,9,894,9.9,0,1,2,0
373,Rafa Mir,es ESP,FW,Sevilla,24,1997,34,18,1808,20.1,10,0,6,0
374,Jorge Miramón,es ESP,DF,Levante,32,1989,29,22,1977,22,1,0,5,0
375,Juan Miranda,es ESP,DF,Betis,21,2000,13,9,783,8.7,0,2,3,0
376,Stefan Mitrović,rs SRB,DF,Getafe,31,1990,32,31,2667,29.6,1,0,8,1
377,Luka Modrić,hr CRO,MF,Real Madrid,35,1985,28,25,2032,22.6,2,8,4,0
378,Johan Mojica,co COL,DF,Elche,28,1992,33,32,2855,31.7,2,5,4,1
379,Jorge Molina,es ESP,FW,Granada,39,1982,35,19,1966,21.8,10,5,2,0
380,Jon Moncayola,es ESP,MF,Osasuna,23,1998,36,33,2915,32.4,2,3,2,0
381,Monchu,es ESP,MF,Granada,21,1999,14,7,668,7.4,0,0,3,1
382,Gonzalo Montiel,ar ARG,DF,Sevilla,24,1997,18,15,1066,11.8,1,2,7,0
383,Ángel Montoro,es ESP,MF,Granada,33,1988,24,13,1331,14.8,1,1,5,0
384,Martín Montoya,es ESP,DF,Betis,30,1991,6,6,518,5.8,0,1,2,0
385,Jon Morcillo,es ESP,MF,Athletic Club,22,1998,7,0,54,0.6,0,0,2,0
386,Alberto Moreno,es ESP,MFDF,Villarreal,29,1992,24,13,1223,13.6,3,2,3,0
387,Álex Moreno,es ESP,DF,Betis,28,1993,30,28,2404,26.7,5,3,3,1
388,Gerard Moreno,es ESP,FW,Villarreal,29,1992,17,14,1191,13.2,9,3,2,0
389,Tete Morente,es ESP,MFFW,Elche,24,1996,32,18,1632,18.1,3,3,4,0
390,Ilaix Moriba,gn GUI,MF,Valencia,18,2003,14,9,818,9.1,0,0,9,1
391,Manu Morlanes,es ESP,MF,Espanyol,22,1999,27,11,1144,12.7,2,0,6,1
392,Loren Morón,es ESP,FWMF,Espanyol,27,1993,21,4,563,6.3,1,0,0,0
393,Loren Morón,es ESP,FW,Betis,27,1993,1,0,4,0,0,0,0,0
394,Cristhian Mosquera,co COL,DF,Valencia,17,2004,6,3,212,2.4,0,0,1,0
395,Toni Moya,es ESP,MF,Alavés,23,1998,28,17,1386,15.4,0,1,2,0
396,Iker Muniain,es ESP,MF,Athletic Club,28,1992,35,34,2785,30.9,4,10,3,0
397,Aihen Muñoz,es ESP,DF,Real Sociedad,23,1997,20,15,1342,14.9,0,0,4,1
398,Jeison Murillo,co COL,DF,Celta Vigo,29,1992,19,12,1117,12.4,0,0,5,1
399,Vedat Muriqi,xk KVX,FW,Mallorca,27,1994,16,16,1438,16,5,3,6,0
400,Yunus Musah,us USA,MFFW,Valencia,18,2002,29,13,1259,14,1,0,5,0
401,Shkodran Mustafi,de GER,DF,Levante,29,1992,11,8,658,7.3,1,0,1,0
402,Nacho,es ESP,DF,Real Madrid,31,1990,28,17,1555,17.3,3,0,7,0
403,Roberto Navarro,es ESP,MFFW,Real Sociedad,19,2002,6,3,199,2.2,0,0,0,0
404,Ximo Navarro,es ESP,DF,Alavés,31,1990,18,16,1347,15,0,0,4,1
405,Jesús Navas,es ESP,DF,Sevilla,35,1985,25,19,1786,19.8,0,3,4,0
406,Loum Ndiaye,sn SEN,MF,Alavés,24,1996,32,26,2312,25.7,2,0,10,0
407,Álvaro Negredo,es ESP,FW,Cádiz,35,1985,34,24,2157,24,7,2,3,0
408,Neto,br BRA,GK,Barcelona,32,1989,3,3,270,3,0,0,0,0
409,Carlos Neva,es ESP,DF,Granada,25,1996,26,24,2108,23.4,0,0,1,0
410,Saúl Ñíguez,es ESP,DFMF,Atlético Madrid,26,1994,3,2,201,2.2,0,1,0,0
411,Fernando Niño,es ESP,FW,Mallorca,20,2000,23,9,884,9.8,2,0,2,0
412,Peru Nolaskoain,es ESP,DF,Athletic Club,22,1998,1,0,1,0,0,0,0,0
413,Nolito,es ESP,MF,Celta Vigo,34,1986,32,15,1384,15.4,2,0,2,0
414,Randy Ntekja,fr FRA,FWMF,Rayo Vallecano,23,1997,34,16,1462,16.2,3,0,2,0
415,Unai Núñez,es ESP,DF,Athletic Club,24,1997,9,7,622,6.9,0,0,2,0
416,Allan Nyom,cm CMR,DF,Getafe,33,1988,5,3,244,2.7,0,0,1,0
417,Jan Oblak,si SVN,GK,Atlético Madrid,28,1993,38,38,3420,38,0,0,2,0
418,Lucas Ocampos,ar ARG,FW,Sevilla,27,1994,30,23,2125,23.6,6,4,7,0
419,Lucas Olaza,uy URU,DF,Elche,27,1994,5,3,295,3.3,1,0,1,0
420,Oier Olazábal,es ESP,GK,Espanyol,31,1989,2,1,135,1.5,0,0,0,0
421,Brian Oliván,es ESP,DF,Mallorca,27,1994,28,24,2189,24.3,1,0,7,0
422,Mathías Olivera,uy URU,DF,Getafe,23,1997,32,32,2803,31.1,1,3,10,0
423,Javier Ontiveros,es ESP,MFFW,Osasuna,23,1997,3,0,39,0.4,0,0,0,0
424,Pedro Ortiz,es ESP,MF,Sevilla,20,2000,1,0,7,0.1,0,0,0,0
425,Milutin Osmajić,me MNE,FWMF,Cádiz,22,1999,10,2,257,2.9,0,0,0,0
426,Jesús Owono,gq EQG,GK,Alavés,20,2001,1,1,90,1,0,0,0,0
427,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,24,1997,22,19,1671,18.6,9,3,0,1
428,Fernando Pacheco,es ESP,GK,Alavés,29,1992,34,34,3053,33.9,0,0,1,0
429,Jon Pacheco,es ESP,DF,Real Sociedad,20,2001,10,4,381,4.2,0,0,1,0
430,Gavi Paez,es ESP,MFFW,Barcelona,16,2004,34,28,2316,25.7,2,5,11,1
431,Helibelton Palacios,co COL,DF,Elche,28,1993,26,22,1931,21.5,0,0,6,0
432,Isaac Palazón Camacho,es ESP,FWMF,Rayo Vallecano,26,1994,34,27,2288,25.4,2,4,7,0
433,Daniel Parejo,es ESP,MF,Villarreal,32,1989,33,32,2704,30,2,10,3,0
434,Raúl Parra,es ESP,DF,Cádiz,21,1999,2,1,88,1,0,0,0,0
435,Javier Pastore,ar ARG,MFFW,Elche,32,1989,13,6,525,5.8,0,0,2,1
436,Gabriel Paulista,br BRA,DF,Valencia,30,1990,19,19,1592,17.7,2,1,2,0
437,Alfonso Pedraza,es ESP,DF,Villarreal,25,1996,28,19,1701,18.9,4,4,2,0
438,Pedri,es ESP,MF,Barcelona,18,2002,12,10,885,9.8,3,1,0,0
439,Pedrosa,es ESP,DF,Espanyol,23,1998,31,31,2720,30.2,1,1,8,0
440,Facundo Pellistri,uy URU,MFFW,Alavés,19,2001,21,6,672,7.5,0,0,0,0
441,Rubén Peña,es ESP,MFFW,Villarreal,30,1991,7,1,132,1.5,0,0,1,0
442,Alberto Perea,es ESP,MF,Cádiz,30,1990,18,8,777,8.6,0,1,2,0
443,Victor Perea,es ESP,DF,Espanyol,21,2000,1,0,4,0,0,0,0,0
444,Iñigo Pérez,es ESP,MF,Osasuna,33,1988,10,4,338,3.8,1,0,0,0
445,Juan Pérez,es ESP,GK,Osasuna,25,1996,2,2,180,2,0,0,0,0
446,Kike Pérez,es ESP,FWMF,Elche,24,1997,12,5,519,5.8,2,0,1,0
447,Lucas Pérez,es ESP,FWMF,Cádiz,32,1988,15,11,1060,11.8,3,2,1,0
448,Lucas Pérez,es ESP,FW,Elche,32,1988,18,16,1266,14.1,2,1,0,0
449,Njegoš Petrović,rs SRB,MF,Granada,22,1999,15,10,918,10.2,0,1,5,0
450,Alex Petxa,es ESP,DFMF,Athletic Club,24,1997,17,1,412,4.6,0,0,4,0
451,Germán Pezzella,ar ARG,DF,Betis,30,1991,23,22,1988,22.1,1,0,5,1
452,Pablo Piatti,ar ARG,MFFW,Elche,32,1989,10,3,312,3.5,0,0,0,0
453,Cristiano Piccini,it ITA,DF,Valencia,28,1992,6,3,322,3.6,1,0,1,0
454,Tomás Pina Isla,es ESP,MF,Alavés,33,1987,29,16,1444,16,0,0,4,0
455,Orbelín Pineda,mx MEX,MFFW,Celta Vigo,25,1996,7,0,99,1.1,0,0,0,0
456,Yeremi Pino,es ESP,MFFW,Villarreal,18,2002,31,21,1678,18.6,6,4,2,0
457,Gerard Piqué,es ESP,DF,Barcelona,34,1987,27,25,2092,23.2,1,0,10,1
458,Ezequiel Ponce,ar ARG,FW,Elche,24,1997,13,5,667,7.4,1,0,1,1
459,Pere Pons,es ESP,MF,Alavés,28,1993,27,17,1366,15.2,1,0,2,0
460,Portu,es ESP,FWMF,Real Sociedad,29,1992,37,17,1590,17.7,1,2,5,0
461,Sergio Postigo,es ESP,DF,Levante,32,1988,13,10,848,9.4,0,0,3,0
462,Darío Poveda,es ESP,FWMF,Getafe,24,1997,15,3,380,4.2,1,0,0,0
463,José Pozo,es ESP,MF,Rayo Vallecano,25,1996,5,0,72,0.8,0,0,0,0
464,Abdón Prats,es ESP,FW,Mallorca,28,1992,23,6,641,7.1,3,0,3,0
465,Alejandro Primo,es ESP,GK,Levante,17,2004,1,1,90,1,0,0,0,0
466,Javi Puado,es ESP,FWMF,Espanyol,23,1998,30,26,2245,24.9,4,1,5,0
467,Pubill,es ESP,DF,Levante,18,2003,11,5,512,5.7,0,1,1,0
468,Antonio Puertas,es ESP,MFFW,Granada,29,1992,33,25,2261,25.1,6,1,4,0
469,Riqui Puig,es ESP,MF,Barcelona,21,1999,15,2,487,5.4,1,0,0,0
470,Yacine Qasmi,ma MAR,MF,Rayo Vallecano,30,1991,1,0,4,0,0,0,0,0
471,Quini,es ESP,DF,Granada,31,1989,32,27,2304,25.6,0,1,11,0
472,Dani Raba,es ESP,MFFW,Villarreal,25,1995,7,0,89,1,0,0,1,0
473,Dani Raba,es ESP,MFFW,Granada,25,1995,2,0,26,0.3,0,0,0,0
474,Uroš Račić,rs SRB,MF,Valencia,23,1998,28,13,1206,13.4,0,0,3,1
475,Nemanja Radoja,rs SRB,MF,Levante,28,1993,19,17,1214,13.5,0,0,3,0
476,Rafinha,br BRA,MFFW,Real Sociedad,28,1993,17,13,1050,11.7,1,0,3,0
477,Antonio Raillo,es ESP,DF,Mallorca,29,1991,17,17,1530,17,2,0,8,0
478,Ivan Rakitić,hr CRO,MF,Sevilla,33,1988,35,26,2182,24.2,4,6,5,0
479,Jonás Ramalho,es ESP,DF,Osasuna,28,1993,3,3,243,2.7,0,0,0,0
480,Sandro Ramírez,es ESP,FW,Getafe,26,1995,29,19,1462,16.2,3,0,7,0
481,Raúl,es ESP,FW,Betis,20,2000,1,0,1,0,0,0,0,0
482,Lluís Recasens,es ESP,DF,Espanyol,19,2002,1,0,45,0.5,0,0,0,0
483,Manolo Reina,es ESP,GK,Mallorca,36,1985,21,21,1890,21,0,0,5,1
484,Karim Rekik,nl NED,DF,Sevilla,26,1994,18,11,1098,12.2,0,2,2,0
485,Álex Remiro,es ESP,GK,Real Sociedad,26,1995,35,35,3150,35,0,0,1,0
486,Nico Ribaudo,es ESP,MFFW,Espanyol,20,2001,31,7,1116,12.4,2,0,5,1
487,Diego Rico,es ESP,DF,Real Sociedad,28,1993,21,19,1644,18.3,0,0,4,0
488,Sergio Rico,es ESP,GK,Mallorca,27,1993,14,14,1260,14,0,0,0,0
489,Luis Rioja,es ESP,FWMF,Alavés,27,1993,37,36,3111,34.6,1,3,3,0
490,Rober,es ESP,DF,Levante,26,1995,27,21,2010,22.3,1,0,5,1
491,Sergi Roberto,es ESP,MFDF,Barcelona,29,1992,9,4,400,4.4,2,1,1,0
492,Rubén Rochina,es ESP,MFFW,Granada,30,1991,15,8,743,8.3,1,3,3,0
493,Enzo Roco,cl CHI,DF,Elche,28,1992,30,29,2552,28.4,1,0,10,0
494,Rodrigo,es ESP,FW,Betis,21,2000,21,10,881,9.8,1,2,1,0
495,Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,27,1994,13,5,435,4.8,0,0,0,0
496,Ángel Rodríguez,es ESP,FW,Mallorca,34,1987,29,19,1544,17.2,3,2,4,0
497,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,23,1998,18,9,943,10.5,0,1,2,0
498,Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,23,1998,11,4,417,4.6,0,0,1,0
499,Dani Rodríguez,es ESP,MFFW,Mallorca,33,1988,36,33,2832,31.5,3,3,7,0
500,Guido Rodríguez,ar ARG,MF,Betis,27,1994,32,29,2529,28.1,1,2,9,1
501,Rodrygo,br BRA,FW,Real Madrid,20,2001,33,17,1523,16.9,4,4,4,0
502,Leonardo Román,es ESP,GK,Mallorca,21,2000,2,2,180,2,0,0,0,0
503,Iván Romero,es ESP,FW,Sevilla,20,2001,5,2,178,2,0,0,0,0
504,Unai Ropero,es ESP,MF,Alavés,19,2001,1,0,12,0.1,0,0,0,0
505,Rubén,es ESP,DF,Espanyol,20,2001,4,1,150,1.7,0,1,0,0
506,Aitor Ruibal,es ESP,FWDF,Betis,25,1996,19,9,856,9.5,0,0,6,0
507,Isma Ruiz,es ESP,MF,Granada,20,2001,8,3,283,3.1,0,0,1,0
508,Víctor Ruiz,es ESP,DF,Betis,32,1989,18,17,1424,15.8,0,0,2,0
509,Gerónimo Rulli,ar ARG,GK,Villarreal,29,1992,32,32,2880,32,0,0,2,0
510,Franco Russo,ar ARG,DF,Mallorca,26,1994,19,17,1464,16.3,1,0,7,2
511,Mathew Ryan,au AUS,GK,Real Sociedad,29,1992,3,3,270,3,0,0,0,0
512,Youssouf Sabaly,sn SEN,DF,Betis,28,1993,10,9,788,8.8,0,1,1,0
513,Salvi,es ESP,MFFW,Cádiz,30,1991,23,17,1395,15.5,2,1,3,1
514,Fede San Emeterio,es ESP,MF,Cádiz,24,1997,12,10,830,9.2,0,0,3,0
515,Oihan Sancet,es ESP,FW,Athletic Club,21,2000,27,16,1422,15.8,6,4,2,0
516,Antonio Sánchez,es ESP,MFFW,Mallorca,24,1997,29,19,1616,18,1,0,3,1
517,Germán Sánchez,es ESP,DF,Granada,34,1986,32,25,2299,25.5,2,1,11,1
518,Juan Sánchez,es ESP,MF,Sevilla,17,2003,1,0,5,0.1,0,0,1,0
519,Manuel Sánchez,es ESP,DF,Osasuna,20,2000,33,25,2257,25.1,1,3,6,0
520,Oier Sanjurjo,es ESP,MF,Osasuna,35,1986,25,8,758,8.4,1,0,3,0
521,Jesús Santiago,es ESP,MF,Valencia,17,2004,3,0,82,0.9,0,0,0,0
522,Sergio Santos,es ESP,DF,Real Madrid,20,2001,1,0,11,0.1,0,0,0,0
523,Alvaro Sanz,es ESP,MF,Barcelona,20,2001,2,0,29,0.3,0,0,0,0
524,Marcelo Saracchi,uy URU,DF,Levante,23,1998,4,2,186,2.1,0,1,2,0
525,Joan Sastre Vanrell,es ESP,DF,Mallorca,24,1997,7,2,258,2.9,0,0,1,0
526,Esteban Saveljich,me MNE,DF,Rayo Vallecano,30,1991,21,21,1700,18.9,0,0,4,0
527,Stefan Savić,me MNE,DF,Atlético Madrid,30,1991,28,28,2440,27.1,0,0,12,0
528,Valentino Scotta,es ESP,DF,Sevilla,19,2001,1,0,1,0,0,0,0,0
529,Aleksandar Sedlar,rs SRB,DFMF,Mallorca,29,1991,10,3,404,4.5,0,0,5,1
530,Javier Serrano,es ESP,MF,Atlético Madrid,18,2003,5,1,68,0.8,0,0,1,1
531,Nicolás Serrano,es ESP,MF,Athletic Club,18,2003,14,3,317,3.5,1,0,0,0
532,Salva Sevilla,es ESP,MF,Mallorca,37,1984,28,17,1507,16.7,5,3,2,0
533,David Silva,es ESP,MF,Real Sociedad,35,1986,25,22,1720,19.1,2,4,4,1
534,Jonathan Silva,ar ARG,DFMF,Getafe,27,1994,9,1,226,2.5,0,0,4,0
535,Rui Silva,pt POR,GK,Betis,27,1994,22,21,1964,21.8,0,0,2,0
536,Giuliano Simeone,ar ARG,DF,Atlético Madrid,18,2002,1,0,1,0,0,0,0,0
537,Unai Simón,es ESP,GK,Athletic Club,24,1997,34,34,3060,34,0,0,3,0
538,Antonio Sivera,es ESP,GK,Alavés,24,1996,4,3,277,3.1,0,0,1,0
539,Rubén Sobrino,es ESP,FWMF,Cádiz,29,1992,33,19,1861,20.7,4,1,4,0
540,Rubén Sobrino,es ESP,MF,Valencia,29,1992,1,0,14,0.2,0,0,0,0
541,Alex Sola,es ESP,DFFW,Real Sociedad,22,1999,2,0,41,0.5,0,0,0,0
542,Augusto Solari,ar ARG,MFDF,Celta Vigo,29,1992,26,4,714,7.9,0,0,5,0
543,Roberto Soldado,es ESP,FW,Levante,36,1985,18,7,664,7.4,3,2,7,2
544,Carlos Soler,es ESP,MF,Valencia,24,1997,32,28,2474,27.5,11,5,4,0
545,Son,es ESP,DF,Levante,27,1994,26,22,1971,21.9,1,0,5,1
546,David Soria,es ESP,GK,Getafe,28,1993,38,38,3414,37.9,0,0,4,0
547,Alexander Sørloth,no NOR,FW,Real Sociedad,25,1995,33,20,1763,19.6,4,0,2,0
548,Alberto Soro,es ESP,MFFW,Granada,22,1999,16,7,578,6.4,0,0,0,0
549,Hugo Sotelo,es ESP,MF,Celta Vigo,17,2003,1,0,2,0,0,0,0,0
550,Damián Suárez,uy URU,DF,Getafe,33,1988,35,31,2711,30.1,0,3,13,0
551,Denis Suárez,es ESP,MF,Celta Vigo,27,1994,38,33,2819,31.3,4,6,4,0
552,Luis Suárez,uy URU,FW,Atlético Madrid,34,1987,35,20,1835,20.4,11,2,7,0
553,Mario Suárez,es ESP,DF,Rayo Vallecano,34,1987,14,8,712,7.9,0,0,2,0
554,Suso,es ESP,FW,Sevilla,27,1993,8,6,384,4.3,0,1,0,0
555,Mamadou Sylla,sn SEN,FWMF,Rayo Vallecano,27,1994,12,1,253,2.8,0,0,2,0
556,Mamadou Sylla,sn SEN,FW,Alavés,27,1994,13,4,394,4.4,0,0,1,0
557,Tachi,es ESP,DF,Alavés,23,1997,5,2,239,2.7,0,0,1,0
558,Renato Tapia,pe PER,MF,Celta Vigo,26,1995,29,13,1412,15.7,0,0,10,0
559,Cristian Tello,es ESP,FWMF,Betis,29,1991,23,5,819,9.1,2,2,2,0
560,Nahuel Tenaglia,ar ARG,DF,Alavés,25,1996,14,12,1073,11.9,0,0,2,0
561,Marc Tenas,es ESP,FWMF,Alavés,20,2001,3,0,54,0.6,0,0,2,0
562,Marc-André ter Stegen,de GER,GK,Barcelona,29,1992,35,35,3150,35,0,0,3,0
563,David Timor,es ESP,MF,Getafe,31,1989,7,3,341,3.8,0,0,2,0
564,Raúl de Tomás,es ESP,FW,Espanyol,26,1994,34,33,2914,32.4,17,3,7,2
565,Raúl Torrente,es ESP,DF,Granada,19,2001,18,15,1282,14.2,0,0,5,0
566,Ferrán Torres,es ESP,FW,Barcelona,21,2000,18,17,1412,15.7,4,4,1,0
567,Óliver Torres,es ESP,MFFW,Sevilla,26,1994,26,11,1008,11.2,2,3,2,0
568,Pau Torres,es ESP,DF,Villarreal,24,1997,33,33,2855,31.7,5,1,5,0
569,Roberto Torres,es ESP,MFFW,Osasuna,32,1989,28,6,809,9,2,2,3,0
570,Lucas Torró,es ESP,MF,Osasuna,27,1994,33,32,2725,30.3,1,0,10,0
571,Adama Traoré,es ESP,FWDF,Barcelona,25,1996,11,4,382,4.2,0,2,0,0
572,Óscar Trejo,ar ARG,MF,Rayo Vallecano,33,1988,32,24,2007,22.3,3,9,13,0
573,Manu Trigueros,es ESP,MFFW,Villarreal,29,1991,35,27,2178,24.2,6,4,3,0
574,Kieran Trippier,eng ENG,DF,Atlético Madrid,30,1990,15,12,976,10.8,0,0,1,0
575,Beñat Turrientes,es ESP,MF,Real Sociedad,19,2002,8,1,207,2.3,0,0,1,0
